feature,n,rho,p,effect_won_vs_lost,p_mwu,q
mfcc4_sma3_stddevNorm,63,0.3188358641570506,0.010869955077366782,0.5852272727272727,0.002441685677124026,0.777661729226318
spectralFlux_sma3_amean,63,0.2797982877724566,0.026356247925929135,0.4375,0.02371162255411464,0.777661729226318
spectralFluxV_sma3nz_amean,63,0.2660568620941112,0.035063636996483974,0.3693181818181819,0.05652285665637204,0.777661729226318
mfcc4V_sma3nz_amean,63,0.26059011046800634,0.0391375517087728,0.34659090909090917,0.07365992067782211,0.777661729226318
loudness_sma3_meanRisingSlope,63,0.25283726270734863,0.04558031400039876,0.38636363636363646,0.04596883767612562,0.777661729226318
loudnessPeaksPerSec,63,0.24515896155977407,0.052795688545328796,0.4375,0.02371162255411464,0.777661729226318
spectralFluxUV_sma3nz_amean,63,0.23964251219161375,0.05853367854391642,0.3806818181818181,0.04928547628907691,0.777661729226318
loudness_sma3_percentile50.0,63,0.22803808942165485,0.07225374973876984,0.40340909090909083,0.03712596135002326,0.7807667522386974
dominance,63,0.22423599161583613,0.0772699258561103,0.23863636363636354,0.21965598629858962,0.7807667522386974
loudness_sma3_amean,63,0.2084323301807607,0.10114848393383617,0.32386363636363646,0.09482887768218422,0.7807667522386974
loudness_sma3_stddevNorm,63,-0.20766201517890046,0.10244446652233619,-0.36931818181818177,0.05652285665637204,0.7807667522386974
mfcc2V_sma3nz_stddevNorm,63,-0.20284133419951714,0.11084950782997369,-0.2670454545454546,0.16919304858113704,0.7807667522386974
MeanVoicedSegmentLengthSec,63,-0.1956103127304421,0.12443980766159637,-0.30681818181818177,0.11370421911768461,0.7807667522386974
loudness_sma3_meanFallingSlope,63,0.19305087901458393,0.12954227468212556,0.2727272727272727,0.1602096100706547,0.7807667522386974
arousal,63,0.1916938524453218,0.13231110662105147,0.17329545454545459,0.37496513554323463,0.7807667522386974
slopeUV0-500_sma3nz_amean,63,0.1812973630184585,0.15502574919154957,0.2727272727272727,0.1602096100706547,0.7807667522386974
F0semitoneFrom27.5Hz_sma3nz_meanRisingSlope,63,0.18067614124276477,0.15646913633192697,0.22159090909090917,0.25500510106949015,0.7807667522386974
loudness_sma3_percentile20.0,63,0.1793861527338496,0.15949808598800566,0.28409090909090917,0.1433311112514618,0.7807667522386974
HNRdBACF_sma3nz_stddevNorm,63,0.17878762704465584,0.1609180484675086,0.2670454545454546,0.16919304858113704,0.7807667522386974
valence,63,0.17372488377969653,0.17330343798471692,0.18465909090909083,0.34380710141768067,0.7807667522386974
loudness_sma3_percentile80.0,63,0.17195418751202482,0.177795116123074,0.2272727272727273,0.24287051031252382,0.7807667522386974
spectralFlux_sma3_stddevNorm,63,-0.16929535831205564,0.1846975112822725,-0.31818181818181823,0.1008198569667564,0.7807667522386974
mfcc4_sma3_amean,63,0.1598030895794554,0.21091404585139217,0.19886363636363646,0.307721876547814,0.7975517300691918
F0semitoneFrom27.5Hz_sma3nz_stddevRisingSlope,63,0.15813821522059623,0.2157699932132531,0.20454545454545459,0.29391148498790687,0.7975517300691918
VoicedSegmentsPerSec,63,0.15674667844304224,0.21988850918810912,0.28409090909090917,0.1433311112514618,0.7975517300691918
HNRdBACF_sma3nz_amean,63,-0.1512550779459097,0.23667772079337546,-0.21590909090909094,0.26755498615769624,0.7975517300691918
loudness_sma3_pctlrange0-2,63,0.15055930955713268,0.23886626981619294,0.17613636363636354,0.3671889398783247,0.7975517300691918
F0semitoneFrom27.5Hz_sma3nz_percentile80.0,63,-0.15016172762068872,0.24012310152620825,-0.19886363636363635,0.307721876547814,0.7975517300691918
shimmerLocaldB_sma3nz_amean,63,0.14519195341513885,0.2562174864105828,0.15340909090909083,0.4333400549449371,0.8216629736615242
loudness_sma3_stddevFallingSlope,63,0.14243372873105872,0.2654581889708725,0.15340909090909083,0.4333400549449371,0.8229203858097046
MeanUnvoicedSegmentLength,63,-0.13393541483956845,0.2953231413477279,-0.17045454545454541,0.3831070335377086,0.823994980175887
F0semitoneFrom27.5Hz_sma3nz_meanFallingSlope,63,0.13075475934801656,0.3070438526469579,0.17045454545454541,0.3831070335377086,0.823994980175887
StddevVoicedSegmentLengthSec,63,-0.13000929321718407,0.30983375317333944,-0.23863636363636365,0.21983265580997724,0.823994980175887
alphaRatioUV_sma3nz_amean,63,0.12973595563587884,0.3108607944819644,0.17613636363636354,0.3671889398783247,0.823994980175887
F0semitoneFrom27.5Hz_sma3nz_amean,63,-0.1290153383760741,0.31357893612016063,-0.2272727272727273,0.24287051031252382,0.823994980175887
mfcc4V_sma3nz_stddevNorm,63,-0.1275989527274924,0.3189657987777627,-0.10227272727272729,0.6048781137168378,0.823994980175887
mfcc2_sma3_amean,63,-0.12190856126213781,0.341198959786141,-0.09659090909090906,0.6256683284580744,0.8576081962192194
F0semitoneFrom27.5Hz_sma3nz_stddevFallingSlope,63,0.11341024737064757,0.37615655676613136,0.1477272727272727,0.4508952758800513,0.8755206319096388
hammarbergIndexUV_sma3nz_amean,63,-0.11273932785289834,0.37900514828209714,-0.08522727272727271,0.6681404782905049,0.8755206319096388
StddevUnvoicedSegmentLength,63,-0.10744651832398774,0.4019280801106723,-0.13068181818181823,0.505905668223771,0.8755206319096388
slopeUV500-1500_sma3nz_amean,63,-0.10287556064803122,0.42236203756502666,-0.23011363636363635,0.23693222731121022,0.8755206319096388
spectralFluxV_sma3nz_stddevNorm,63,-0.10135854492218918,0.4292726080302652,-0.15340909090909094,0.4333400549449371,0.8755206319096388
logRelF0-H1-A3_sma3nz_stddevNorm,63,0.10078702088855096,0.43189263620434937,0.14204545454545459,0.46884617099821113,0.8755206319096388
F3frequency_sma3nz_stddevNorm,63,0.099868811170154,0.4361208288668226,0.10795454545454541,0.5844034881476432,0.8755206319096388
F3frequency_sma3nz_amean,63,-0.09951972846613574,0.4377343763190969,-0.17613636363636365,0.3671889398783247,0.8755206319096388
logRelF0-H1-A3_sma3nz_amean,63,-0.09703484136336082,0.4493164602127883,-0.15340909090909094,0.4333400549449371,0.8755206319096388
