feature,n,rho_outcome,p_outcome,rho_engagement,p_engagement,effect_pos_vs_neg,p_mwu,pos_median,neg_median,q_outcome,q_mwu
shimmerLocaldB_sma3nz_stddevNorm,115,-0.2857805098634527,0.0019614279420967743,-0.07558322075521325,0.4220704230534862,-0.30934343434343436,0.015451655871009195,0.761085,0.83187,0.1745670868466129,0.9753688594725801
logRelF0-H1-H2_sma3nz_stddevNorm,115,0.12643810670305322,0.17814259485908687,0.15764833398333386,0.09244078589862094,0.24494949494949503,0.05525899996630105,2.839835,1.8433,0.7284712393155724,0.9753688594725801
shimmerLocaldB_sma3nz_amean,115,0.24721126316953487,0.007731864523680514,0.025200426684330566,0.7892114783560311,0.22811447811447816,0.07428301275419548,1.423235,1.36784,0.22937864753585524,0.9753688594725801
F2bandwidth_sma3nz_stddevNorm,115,0.16204476576081106,0.08359318235084859,0.16068945390622907,0.08624542590531743,0.21170033670033672,0.09768116254938655,0.32509,0.30862,0.6652836508779504,0.9753688594725801
jitterLocal_sma3nz_amean,115,0.24792427855426374,0.007551511141447743,-0.024390249078840128,0.7958378221761774,0.20580808080808088,0.10739455917009565,0.027395,0.02297,0.22937864753585524,0.9753688594725801
alphaRatioV_sma3nz_stddevNorm,115,0.1857924548734247,0.04681381254999212,-0.027968103603418896,0.7666909157306804,0.20370370370370372,0.11104520818845845,-0.89956,-1.05743,0.6227113888245243,0.9753688594725801
loudness_sma3_stddevFallingSlope,115,0.15756622456424624,0.09261282271303439,0.08613483990623248,0.3600314767646579,0.19444444444444442,0.12827730469022286,6.039009999999999,5.25003,0.6652836508779504,0.9753688594725801
StddevVoicedSegmentLengthSec,115,-0.21264387117262093,0.022512968299682346,-0.13176509226962294,0.1604036528905275,-0.148989898989899,0.24417406508314998,0.17465999999999998,0.18629,0.4124099710295087,0.9753688594725801
F0semitoneFrom27.5Hz_sma3nz_stddevNorm,115,-0.05180854489082747,0.5823983440371095,0.08467816784355442,0.36824290540885735,-0.13804713804713808,0.28066002691842296,0.237115,0.25825,0.9093588178825044,0.9753688594725801
slopeUV500-1500_sma3nz_amean,115,0.0810762815845827,0.38903574268570584,0.14664193427132435,0.11785348838889179,0.13678451178451168,0.2850946993781678,0.055455000000000004,0.05387,0.781257550632692,0.9753688594725801
loudness_sma3_pctlrange0-2,115,-0.09148110943295215,0.33087679072006193,-0.16205476697293503,0.08357385576863599,-0.1355218855218855,0.28958036027993284,0.5451900000000001,0.58024,0.781257550632692,0.9753688594725801
logRelF0-H1-H2_sma3nz_amean,115,0.008293666275202047,0.9299008673436887,-0.13786490653208733,0.14174835252362944,-0.13383838383838387,0.29563220920372413,3.1313899999999997,3.5401,0.9918140114788189,0.9753688594725801
F1bandwidth_sma3nz_amean,115,-0.1563302354217215,0.09523324993130369,-0.005926834455021387,0.9498744552325583,-0.13047138047138052,0.3079883054737421,1247.77765,1264.56885,0.6652836508779504,0.9753688594725801
spectralFlux_sma3_stddevNorm,115,0.10313792007785007,0.2726953839067538,0.19182550225391803,0.040000802602403095,0.12794612794612803,0.3174764929745457,1.92945,1.83049,0.781257550632692,0.9753688594725801
F0semitoneFrom27.5Hz_sma3nz_percentile80.0,115,0.2116452277712332,0.023169099496039815,0.06848179534665265,0.46709295152947006,0.12794612794612803,0.3174764929745457,32.983205,30.93951,0.4124099710295087,0.9753688594725801
mfcc4V_sma3nz_stddevNorm,115,0.13230457690851471,0.15868339356886615,0.010187600238354735,0.913948765801662,0.12710437710437716,0.3206813606259431,-1.988575,-1.99159,0.7202959779381646,0.9753688594725801
F1amplitudeLogRelF0_sma3nz_stddevNorm,115,0.0955249434753428,0.30985581767166104,0.23751037981965892,0.010592141425820848,0.1237373737373737,0.33371148405320195,-0.57225,-0.63349,0.781257550632692,0.9753688594725801
loudness_sma3_percentile80.0,115,-0.08068859554351539,0.3913150200684036,-0.16267385259957318,0.08238445378132378,-0.12289562289562295,0.3370216498043781,0.549185,0.58731,0.781257550632692,0.9753688594725801
F3frequency_sma3nz_stddevNorm,115,-0.15209831607503366,0.10465136081226187,-0.0779046427521014,0.407916096551002,-0.12205387205387208,0.3403528516109807,0.103445,0.10489,0.6652836508779504,0.9753688594725801
F2amplitudeLogRelF0_sma3nz_amean,115,-0.08642967554611204,0.3583833647692163,-0.243063942058619,0.008858363493049944,-0.12121212121212122,0.3437050772021871,-147.08245,-140.29337,0.781257550632692,0.9753688594725801
F3amplitudeLogRelF0_sma3nz_amean,115,-0.0802407733904267,0.39395778082742666,-0.23870303007097657,0.010196549889453505,-0.11868686868686873,0.35388774520627164,-148.43325,-140.90253,0.781257550632692,0.9753688594725801
loudness_sma3_stddevNorm,115,0.09706992990349868,0.3020595741816402,0.2060826800673796,0.027131310223864277,0.11784511784511786,0.3573239047991179,1.5912350000000002,1.55149,0.781257550632692,0.9753688594725801
F1amplitudeLogRelF0_sma3nz_amean,115,-0.08553403123993471,0.36340446256382475,-0.23926749049526433,0.010013890573708753,-0.11616161616161613,0.36425900065225836,-148.920965,-140.99454,0.781257550632692,0.9753688594725801
mfcc4_sma3_amean,115,0.06152180739132058,0.513653319232631,0.05659170963504292,0.5480195188173008,0.1144781144781144,0.3712776295246166,-1.7484950000000001,-2.44585,0.8791374117635417,0.9753688594725801
F2amplitudeLogRelF0_sma3nz_stddevNorm,115,0.07259197101567234,0.44072120003139703,0.23466986929743666,0.011588988689792504,0.1077441077441077,0.4001823794213555,-0.5632699999999999,-0.61771,0.8345571660169008,0.9753688594725801
MeanUnvoicedSegmentLength,115,0.04078764170331547,0.6651596135403424,0.19494824298828412,0.03681364682042308,0.1077441077441077,0.4001823794213555,0.481175,0.4528,0.9548258968562979,0.9753688594725801
jitterLocal_sma3nz_stddevNorm,115,0.10548898638156555,0.26185430357620976,0.011544126096723686,0.9025437230395497,0.10690235690235683,0.4038882411875231,1.678815,1.69612,0.781257550632692,0.9753688594725801
F3frequency_sma3nz_amean,115,0.14060719962677853,0.13391807050151952,0.012891547754700897,0.8912348300410073,0.10437710437710446,0.4151284252828489,2775.770265,2767.73828,0.7202959779381646,0.9753688594725801
F0semitoneFrom27.5Hz_sma3nz_stddevFallingSlope,115,0.009583394076097398,0.919034425829357,0.07787733015092618,0.40808098908691387,-0.10185185185185186,0.4265513906529822,208.63376499999998,232.62401,0.9918140114788189,0.9753688594725801
